FRD_ID,Owner,Building_name_location,Street_Number_GPS,Street_Name_GPS,Suburb_GPS,State,Postcode,Height_Res,Total_number_of_bays,Access_Lat,Access_Long,Kerbside_Ref,Between,Open,Close,Preferred,URL,Phone,Comments,Road Direction Access,Kerb,Last updated
FRD-001,Sir Stamford Hotel,93 Macquarie Street,2,Albert St,Sydney,NSW,2000,2.1,94,-33.86218,151.212657,ALB-01,Philip and Macquarie,0,0,,http://www.stamford.com.au/sscq/location/hotel-parking-and-transfers,02 9252 4600,,EAST/WEST,SOUTH,1/09/2016
FRD-002,Wilson,Gold Fields House,18,Pitt St,Sydney,NSW,2000,2.1,114,-33.861878,151.209166,PIT-01,Alfred and Reiby,700,0,,https://www.wilsonparking.com.au/park/2127_gold-fields-house-car-park_1317-pitt-street-sydney,02 9006 3200,,SOUTH,WEST,1/09/2016
FRD-003,Wilson,No. 1 OConnell St Car Park,3,Bent St,Sydney,NSW,2000,2.1,100,-33.8644,151.209767,BEN-01,Gresham and Loftus,600,1900,,https://www.wilsonparking.com.au/park/2150_No.-1-OConnell-St-Car-Park_3-Bent-Street-Sydney,02 9006 3200,,EAST/WEST,SOUTH,1/09/2016
FRD-004,Wilson,The Chifley Tower,27,Bent St,Sydney,NSW,2000,2.2,362,-33.865398,151.211869,BEN-04,Phillip and Macquarie,700,2130,,https://www.wilsonparking.com.au/park/2157_the-chifley-tower-car-park_2-chifley-square-sydney,02 9006 3200,,EAST/WEST,SOUTH,1/09/2016
FRD-005,Secure,Sofitel Wentworth Hotel,15,Bligh St,Sydney,NSW,2000,2.5,173,-33.865404,151.2107,BLI-01,Bent and Hunter,600,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/sofitel-wentworth-hotel,02 8912 4900,,NORTH/SOUTH,EAST,1/09/2016
FRD-006,Wilson,Australia Square,31,Bond St,Sydney,NSW,2000,1.75,380,-33.864761,151.208168,BON-01,George and Pitt,600,30,,https://www.wilsonparking.com.au/park/2077_australia-square-car-park_bond-street-sydney-2000,02 9006 3200,,EAST/WEST,SOUTH,1/09/2016
FRD-007,Capitol Square,Capitol Square,3,Campbell St,Haymarket,NSW,2000,2.1,130,-33.879255,151.205845,CAM-01,George and Pitt,700,0,,http://www.capitolsquare.com.au/services/capitol_square_carpark.php,02 9211 9421,,WEST,SOUTH,1/09/2016
FRD-008,Secure,Piccadilly,133,Castlereagh St,Sydney,NSW,2000,1.8,231,-33.871447,151.209373,CAS-04,Market and Park,600,100,TRUE,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/piccadilly,02 8912 4900,,SOUTH,WEST,1/09/2016
FRD-009,Sheraton,Sheraton,138,Castlereagh St,Sydney,NSW,2000,1.9,115,-33.871762,151.209439,CAS-04,Market and Park,0,0,,http://www.sheratonontheparksydney.com/en/carparkingsydney,02 9286 6608,,SOUTH,EAST,1/09/2016
FRD-010,Enacom,Cathedral Street,2,Cathedral St,Sydney,NSW,2000,2.1,335,-33.871852,151.213841,CAT-01,St Marys and end,600,2200,,http://www.enacon.com.au/,02 9380 8850,,EAST/WEST,NORTH,1/09/2016
FRD-011,Secure,The Bowlers Club,168,Clarence St,Sydney,NSW,2000,1.8,70,-33.870119,151.205565,CLA-06,King and Market,700,2300,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/bowlers-club,02 8912 4900,,NORTH,EAST,1/09/2016
FRD-012,Wilson,St Martins Tower,190,Clarence St,Sydney,NSW,2000,2,163,-33.8712314,151.2057649,CLA-07,Market and Park,700,2200,,https://www.wilsonparking.com.au/park/2135_st-martins-tower-car-park_190202-clarence-street-sydney,02 9006 3200,,NORTH,EAST,1/09/2016
FRD-013,Secure,1 Dixon Street,6,Harbour St,Sydney,NSW,2000,2.2,88,-33.876218,151.203623,HBR-02,Liverpool and Goulburn,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/number-1-dixon-street,02 8912 4900,,SOUTH,EAST,1/09/2016
FRD-014,Secure,234 Sussex Street,51,Druitt Pl,Sydney,NSW,2000,2,15,-33.872446,151.204387,DRU-01,Kent and Sussex,700,1900,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/234-sussex-street,02 8912 4900,,EAST,NORTH,1/09/2016
FRD-015,Secure,60 Elizabeth St,60,Elizabeth St,Sydney,NSW,2000,1.9,135,-33.868221,151.210657,ELI-01,Hunter and King,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/60-elizabeth-street,02 8912 4900,,NORTH/SOUTH,EAST,1/09/2016
FRD-016,Wilson,Grosvenor Place,7,Essex St,The Rocks,NSW,2000,2,552,-33.86228,151.207327,ESS-01,Harrington and George,600,2000,,https://www.wilsonparking.com.au/park/2086_grosvenor-place-car-park_7-essex-street-the-rocks,02 9006 3200,,EAST/WEST,SOUTH,1/09/2016
FRD-017,Wilson,155 George Street,155,George St,The Rocks,NSW,2000,2,131,-33.860993,151.20836,GEO-03,Hickson and Alfred,600,0,,https://www.wilsonparking.com.au/park/2155_155-george-st-car-park_155-george-street-the-rocks,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016
FRD-018,Wilson,Overseas Passenger Terminal,130,George St,The Rocks,NSW,2000,4.3,102,-33.859262,151.208829,GEO-02,Hickson and Alfred,0,0,,https://www.wilsonparking.com.au/park/2208_Overseas-Passenger-Terminal-Car-Park_130-George-St-The-Rocks-,02 9006 3200,,NORTH/SOUTH,EAST,1/09/2016
FRD-019,Secure,Goulburn Street Parking Station,101,Goulburn St,Haymarket,NSW,2000,1.98,735,-33.878521,151.208926,GOU-05,Castlereagh and Elizabeth,600,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/goulburn-street,02 8912 4900,,WEST,SOUTH,1/09/2016
FRD-020,Secure,World Square (Goulbourn Street),50,Goulburn St,Sydney,NSW,2000,2.2,359,-33.877788,151.206064,GOU-03,George and Pitt,700,100,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/world-square,02 8912 4900,,EAST,NORTH,1/09/2016
FRD-021,Wilson,Darling Quarter,1,Harbour St,Sydney,NSW,2000,2.2,588,-33.87459,151.203005,HBR-01,Bathurst and Liverpool,0,0,,https://www.wilsonparking.com.au/park/2201_Darling-Quarter-Car-Park_111-Harbour-Street-Sydney,02 9006 3200,,NORTH,WEST,1/09/2016
FRD-022,Wilson,121-127 Harrington Street,121,Harrington St,The Rocks,NSW,2000,2,27,-33.862323,151.206658,HAR-01,Essex and Grosvenor,730,1800,,https://www.wilsonparking.com.au/park/2227_121-127-Harrington-St-Car-Park_121127-Harrington-Street-The-Rocks,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016
FRD-023,Wilson,Clocktower Car Park,55,Harrington St,The Rocks,NSW,2000,2,132,-33.860166,151.207765,HAR-02,Argyle and Essex,600,100,,https://www.wilsonparking.com.au/park/2186_Clocktower-Car-Park_55-Harrington-Street-The-Rocks,02 9006 3200,,SOUTH,WEST,1/09/2016
FRD-024,Wilson,Quay West,111,Harrington St,The Rocks,NSW,2000,2,600,-33.8616315,151.2070606,HAR-02,Argyle and Essex,630,100,,https://www.wilsonparking.com.au/park/2176_Quay-West-Car-Park_111-Harrington-St-Sydney,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016
FRD-025,InterPark,Bond Store One,26,Hickson Rd,Millers Point,NSW,2000,2.2,173,-33.857161,151.203845,HIC-02,Towns Pl and Pottinger,630,0,,http://www.interparkaust.com.au/nsw/bond-store-one/index,02 9241 5671,,WEST,SOUTH,1/09/2016
FRD-026,Wilson,Barangaroo Point car park,25,Hickson Rd,Millers Point,NSW,2000,2.1,188,-33.85729,151.20284,HIC-01,Towns Pl and Windmill,500,0,,https://www.wilsonparking.com.au/park/2143_Towns-Place_Towns-Place-Walsh-Bay,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016
FRD-027,Secure,Amora Hotel,11,Jamison St,Sydney,NSW,2000,2,89,-33.864556,151.206286,JAM-01,York and George,700,2300,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/amora-hotel,02 8912 4900,,WEST,SOUTH,1/09/2016
FRD-028,Secure,Met Centre,30,Jamison St,Sydney,NSW,2000,2.1,155,-33.864362,151.206949,JAM-01,York and George,700,1900,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/met-centre,02 8912 4900,,WEST,SOUTH,1/09/2016
FRD-029,Cinema Centre,521 Kent Street,521,Kent St,Sydney,NSW,2000,2,893,-33.874815,151.205098,KEN-08,Druitt and Liverpool,0,0,,http://www.centro-parking.com.au/cinema-centre-car-park.html,02 9264 5867,,NORTH,WEST,1/09/2016
FRD-030,Secure,528 Kent Street,528,Kent St,Sydney,NSW,2000,2,893,-33.8761144,151.205526,KEN-08,Druitt and Liverpool,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/528-kent-street,02 8912 4900,Parking Only avaliable for Tenants and Visitors,NORTH,EAST,1/09/2016
FRD-031,Secure,ADC House,189,Kent St,Sydney,NSW,2000,1.8,110,-33.8633001,151.2039346,KEN-02,Clarence and Margaret,700,1900,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/adc-house,02 8912 4900,,NORTH/SOUTH,WEST,1/09/2016
FRD-032,Sun Parking,261-293 Kent Street,261,Kent St,Sydney,NSW,2000,2,642,-33.86636,151.204239,KEN-03,Margaret and Erskine,930,0,,http://www.carparking.info/Sydney/Sun-Parking-Westpac-Place-Kent-Street/275-Kent-Street#.VWUL7U-eDGc,02 9299 2998,,NORTH/SOUTH,WEST,1/09/2016
FRD-033,Wilson,55 Clarence Street,196,Kent St,Sydney,NSW,2000,1.8,111,-33.864926,151.204224,KEN-02,Clarence and Margaret,700,1900,,https://www.wilsonparking.com.au/park/2074_55-Clarence-St-Car-Park_55-Clarence-St-Sydney,02 9006 3200,,SOUTH,EAST,1/09/2016
FRD-035,Wilson,383 Kent Street,383,Kent St,Sydney,NSW,2000,2.1,56,-33.8700909,151.2046187,KEN-05,King and Market,0,0,,https://www.wilsonparking.com.au/park/2235_383-Kent-St-Car-Park_383-Kent-Street-Sydney,02 9006 3200,,NORTH,WEST,1/09/2016
FRD-036,Wilson,Citipark,431,Kent St,Sydney,NSW,2000,2,643,-33.871233,151.204824,KEN-06,Market and Druitt,0,0,TRUE,https://www.wilsonparking.com.au/park/2021_Citipark-Car-Park_431-Kent-Street-Sydney,02 9006 3200,,NORTH,WEST,1/09/2016
FRD-037,Wilson,St Andrew's House,464,Kent St,Sydney,NSW,2000,1.85,243,-33.8736544,151.2053182,KEN-07,Druitt and Bathurst,600,0,TRUE,https://www.wilsonparking.com.au/park/2202_St-Andrews-House---Town-Hall-Car-Park_464-Kent-Street-Sydney,02 9006 3200,Height restriction is 3.6m on entry level; all other levels are 1.85m high,NORTH,EAST,1/09/2016
FRD-038,Secure,135 King St,135,King St,Sydney,NSW,2000,2,55,-33.869102,151.208845,KIN-06,Pitt and Castlereagh,630,1830,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/135-king-street,02 8912 4900,Parking Only avaliable for Tenants and Visitors,EAST,SOUTH,1/09/2016
FRD-039,Wilson,MLC Centre Car Park,108,King St,Sydney,NSW,2000,1.85,285,-33.868917,151.208857,KIN-06,Pitt and Castlereagh,600,0,,https://www.wilsonparking.com.au/park/2078_MLC-Centre-Car-Park_108-King-Street-Sydney,02 9006 3200,,EAST,NORTH,1/09/2016
FRD-040,Wilson,259 George Street,9,Lang St,Sydney,NSW,2000,2.02,119,-33.863999,151.206037,LAN-01,Grosvenor and Jamison,600,0,,https://www.wilsonparking.com.au/park/2159_259-George-St-Car-Park_9-Lang-Street-Sydney,02 9006 3200,,NORTH/SOUTH,EAST,1/09/2016
FRD-041,Secure,The Wharf,10,Lincoln Cres,Woolloomooloo,NSW,2011,1.9,91,-33.86738,151.219385,LIN-01,Cowper Wharf and end,930,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/woolloomooloo,02 8912 4900,,SOUTH,EAST,1/09/2016
FRD-042,Mercure Hotel,Mercure Hotel,12,Little Regent St,Chippendale,NSW,2008,2.1,118,-33.884225,151.203006,LTR-01,George and Lee,0,0,,http://www.mercuresydney.com.au/location-en.html,02 9217 6666 ,,SOUTH,EAST,1/09/2016
FRD-043,Metro Parking Management,Sydney Eye Hospital,8,Macquarie  St,Sydney,NSW,2000,1.9,377,-33.868005,151.212374,MAC-06,Hunter and St James,630,2130,,http://www.metroparking.com.au/cms-new-south-wales/sydney-eye-hospital.phps,02 9223 1166,,NORTH/SOUTH,EAST,1/09/2016
FRD-044,Secure,Park House,187,Macquarie  St,Sydney,NSW,2000,1.85,14,-33.866998,151.212042,MAC-05,Hunter and St James,700,1930,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/parkhouse,02 8912 4900,,NORTH/SOUTH,WEST,1/09/2016
FRD-045,Wilson,Sydney Opera House,2,Macquarie  St,Sydney,NSW,2000,2.1,1153,-33.8587836,151.2137816,MAC-01,Albert and end,0,0,,https://www.wilsonparking.com.au/park/2139_Sydney-Opera-House-Car-Park_2A-Macquarie-St-Sydney,02 9006 3200,,NORTH/SOUTH,EAST,1/09/2016
FRD-046,Wilson,175 Liverpool St,26,Nithsdale St,Sydney,NSW,2000,1.94,266,-33.877725,151.210211,NIT-01,Clarke and Goulburn,700,0,,https://www.wilsonparking.com.au/park/2024_175-Liverpool-St-Car-Park_26-Nithsdale-Street-Sydney,02 9006 3200,,NORTH,EAST,1/09/2016
FRD-047,Secure,6-10 O'Connell Street,6,O'Connell St,Sydney,NSW,2000,1.9,108,-33.864903,151.210064,OCO-01,Bent and Hunter,700,1830,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/6-10-o-connell-street,02 8912 4900,,SOUTH,EAST,1/09/2016
FRD-048,Wilson,1 Bligh Street,4,O'Connell St,Sydney,NSW,2000,2.1,100,-33.864819,151.210158,OCO-01,Bent and Hunter,600,1900,,https://www.wilsonparking.com.au/park/2240_1-Bligh-St-Car-Park_OConnell-Street-Sydney,02 9006 3200,,SOUTH,EAST,1/09/2016
FRD-049,Enacom,Intercontinental Hotel,40,Phillip St,Sydney,NSW,2000,2.38,116,-33.863041,151.21201,PHI-01,Alfred and Bridge,600,2300,,http://www.enacon.com.au/,02 9380 8851,,NORTH/SOUTH,EAST,1/09/2016
FRD-050,Wilson,Governor Phillip Tower,43,Phillip St,Sydney,NSW,2000,2.01,629,-33.8643822,151.2115806,PHI-02,Bridge and Bent,600,2100,,https://www.wilsonparking.com.au/park/2137_Governor-Phillip-Tower-Car-Park_43-Phillip-St-Sydney,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016
FRD-051,Secure,131 Macquarie Street,1,Phillip Ln,Sydney,NSW,2000,1.9,74,-33.8640165,151.2124477,PHL-01,Aurora and Philip,700,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/131-macquarie-street,02 8912 4900,,NORTH,EAST,1/09/2016
FRD-052,Secure,109 Pitt Street,109,Pitt St,Sydney,NSW,2000,1.9,112,-33.866221,151.208246,PIT-04,Hunter and King,630,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/109-pitt-street,02 8912 4900,,SOUTH,WEST,1/09/2016
FRD-053,Secure,Atrium,7,Underwood St,Sydney,NSW,2000,2,96,-33.862483,151.20861,UND-01,Pitt and Dalley,700,2000,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/atrium,02 8912 4900,,WEST,NORTH,1/09/2016
FRD-054,Secure,Hilton,259,Pitt St,Sydney,NSW,2000,1.9,429,-33.87203,151.20812,PIT-08,Market and Park,0,0,TRUE,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/hilton-sydney,02 8912 4900,Valet Parking Only,NORTH,WEST,1/09/2016
FRD-055,Secure,No 1 Martin Place,159,Pitt St,Sydney,NSW,2000,2.1,368,-33.86826,151.20831,PIT-05,Hunter and King,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/no-1-martin-place,02 8912 4900,,SOUTH,WEST,1/09/2016
FRD-056,Wilson,37 Pitt Street,4,Underwood St,Sydney,NSW,2000,2,74,-33.862604,151.208647,UND-01,Pitt and Dalley,700,1900,,https://www.wilsonparking.com.au/park/2225_37-Pitt-St-Car-Park_68-Underwood-Street-Sydney,02 9006 3200,,WEST,SOUTH,1/09/2016
FRD-057,Wilson,Angel Place Car Park,123,Pitt St,Sydney,NSW,2000,2.1,260,-33.866707,151.20843,PIT-04,Hunter and King,600,0,,https://www.wilsonparking.com.au/park/2189_Angel-Place-Car-Park_123-Pitt-Street-Sydney,02 9006 3200,,SOUTH,WEST,1/09/2016
FRD-058,Wilson,Citigroup Centre,271,Pitt St,Sydney,NSW,2000,2.1,275,-33.871983,151.208106,PIT-07,Market and Park,600,1900,,https://www.wilsonparking.com.au/park/2126_Citigroup-Centre-Car-Park_271-Pitt-Street-Sydney,02 9006 3200,,NORTH,WEST,1/09/2016
FRD-059,Wilson,Market City - Level B2/B3,2,Quay St,Haymarket,NSW,2000,2.2,619,-33.879596,151.202497,QUA-01,Ultimo and end,0,0,,https://www.wilsonparking.com.au/park/2109_Market-City-Car-Park_2-Quay-Street-Haymarket,02 9006 3200,,NORTH,EAST,1/09/2016
FRD-060,Wilson,Market City - Level B1,2,Quay St,Haymarket,NSW,2000,2.2,619,-33.879596,151.202497,QUA-01,Ultimo and end,100,100,,https://www.wilsonparking.com.au/park/2109_Market-City-Car-Park_2-Quay-Street-Haymarket,02 9006 3200,,NORTH,EAST,1/09/2016
FRD-061,Wilson,Gateway,25,Reiby Pl,Sydney,NSW,2000,2,195,-33.86196018,151.2094467,REI-01,Pitt and Loftus,600,1900,,https://www.wilsonparking.com.au/park/2239_Gateway-Car-Park_25-Reiby-Pl-Sydney,02 9006 3200,,NORTH/SOUTH,EAST,1/09/2016
FRD-062,Secure,King Street Wharf,1,Shelley St,Sydney,NSW,2000,2.2,154,-33.866525,151.202385,SHE-01,Sussex and Erskine,600,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/Sydney%20CBD%20Central/king-street-wharf,02 8912 4900,,SOUTH,WEST,1/09/2016
FRD-063,InterPark,Domain,1,St Marys Rd,Sydney,NSW,2000,1.9,1079,-33.871496,151.214973,STM-01,Cathedral and Riley,600,0,,http://www.domaincarpark.com.au/rates-a-times.html,02 9221 4175,,EAST/WEST,NORTH,1/09/2016
FRD-064,Secure,132 Sussex Street,132,Sussex  St,Sydney,NSW,2000,1.9,60,-33.868599,151.2035903,SUS-03,Erskine and King,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/132-sussex-street,02 8912 4900,Casual Parking Not avaliable/ Call and Book Only,NORTH/SOUTH,EAST,1/09/2016
FRD-065,Sussex Centre,401 Sussex Street,401,Sussex  St,Haymarket,NSW,2000,2.2,22,-33.878239,151.204691,SUS-09,Goulburn and Hay,830,0,,http://www.parkingmadeeasy.com.au/car-park/401-sussex-st-sydney-sussex-centre-china-town,na ---- -----,,SOUTH,WEST,1/09/2016
FRD-066,Wilson,321 Kent Street,86,Sussex  St,Sydney,NSW,2000,2.1,319,-33.8672532,151.2034223,SUS-03,Erskine and King,600,0,,https://www.wilsonparking.com.au/park/2236_321-Kent-St-Car-Park_86-Sussex-Street-Sydney,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016
FRD-067,Secure,Allianz Centre,186,Sussex  St,Sydney,NSW,2000,2,288,-33.8705074,151.2037844,SUS-04,King and Market,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/allianz-centre,02 9006 3200,,SOUTH,EAST,1/09/2016
FRD-068,Wilson,Darling Park,201,Sussex  St,Sydney,NSW,2000,2.1,834,-33.871833,151.203818,SUS-05,Market and Druitt,600,2200,TRUE,https://www.wilsonparking.com.au/park/2076_Darling-Park-Car-Park_201-Sussex-Street-Sydney,02 9006 3200,,SOUTH,WEST,1/09/2016
FRD-069,Wilson,Novatel,179,Thomas St,Haymarket,NSW,2000,2.1,589,-33.8818775,151.202624,THO-03,Ultimo and Quay,0,0,,https://www.wilsonparking.com.au/park/2108_Novotel-Sydney-Central-Citigate-Car-Park_169179-Thomas-Street-Haymarket,02 9006 3200,,SOUTH,EAST,1/09/2016
FRD-070,Wilson,187 Thomas Street,187,Thomas St,Haymarket,NSW,2000,2.1,82,-33.8813207,151.203661,THO-02,Ultimo and Quay,700,0,,https://www.wilsonparking.com.au/park/2195_187-Thomas-St-Car-Park_187-Thomas-Street-Haymarket,02 9006 3200,,NORTH,EAST,1/09/2016
FRD-071,Wilson,HSBC Centre,14,Wilmot St,Sydney,NSW,2000,2,137,-33.8751664,151.207033,WIL-01,George and Pitt,700,1900,,https://www.wilsonparking.com.au/park/2130_HSBC-Centre-Car-Park_14-Wilmot-Street-Sydney,02 9006 3200,,EAST,NORTH,1/09/2016
FRD-073,Wynyard Properties,Wynyard Lane,3,Wynyard Ln,Sydney,NSW,2000,1.95,323,-33.8661085,151.2068037,WYL-01,Margaret and Wynyard,0,0,,http://www.wynyardlanecarpark.com.au/casual.aspx,02 9290 2752,,SOUTH,WEST,1/09/2016
FRD-074,Wilson,71 York Street,71,York St,Sydney,NSW,2000,1.9,38,-33.86828,151.205696,YOR-04,Erskine and King,700,1900,,https://www.wilsonparking.com.au/park/2271_71-York-St-Car-Park_71-York-Street-Sydney-,02 8912 4900,,SOUTH,WEST,1/09/2016
FRD-075,Secure,Landmark,22,York St,Sydney,NSW,2000,1.9,29,-33.868141,151.206306,YOR-05,Erskine and King,700,2000,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/landmark,02 8912 4900,,SOUTH,EAST,1/09/2016
FRD-076,Wilson,Queen Victoria Building,111,York St,Sydney,NSW,2000,1.95,634,-33.871104,151.206304,YOR-06,Market and Druitt,600,0,,https://www.wilsonparking.com.au/park/2036_Queen-Victoria-Building-Car-Park_111-York-Street-Sydney,02 9006 3200,,SOUTH,SOUTH,1/09/2016
FRD-077,Wilson,201 Elizabeth St,190,Casltereagh St,Sydney,NSW,2000,1.9,30,-33.873586,151.2093,CAS-05,Park and Bathurst,700,1800,TRUE,https://www.wilsonparking.com.au/park/2270_201-Elizabeth-St-Car-Park_201-Elizabeth-Street-Sydney,1800 727 5464,Height restriction is 3.4m on entry level; all other levels are 1.9m high,NORTH,EAST,1/09/2016
FRD-078,Wilson,Barangaroo Reserve Car Park,2,Towns Place,Millers Point,NSW,2000,2.2,300,-33.856529,151.202301,TOW-01,Hickson and Dalgety,0,0,,https://www.wilsonparking.com.au/park/2266_Barangaroo-Reserve-Car-Park_Barangaroo-Point,1800 727 5464,,EAST/WEST,NORTH,1/09/2016
FRD-079,Wilson,44 Market St,178,Clarence St,Sydney,NSW,2000,1.9,20,-33.870599,151.205553,CLA-06,King and Market,700,1900,,https://www.wilsonparking.com.au/park/2071_44-Market-St-Car-Park_44-Market-Street-Sydney,1800 727 5464,,NORTH,EAST,1/09/2016
FRD-080,Wilson,220 George St ,2,Dalley St,Sydney,NSW,2000,2.05,,-33.863214,151.207762,DAL-01,George and Underwood,0,0,,https://www.wilsonparking.com.au/park/2224_220-George-St-Car-Park_2-Dalley-Street-Sydney,1800 727 5464,,EAST,NORTH,1/09/2016
